,Country/Region,Province/State,Lat,Long,date,confirmed,deaths,recovered
53,Afghanistan,,33.0,65.0,3/15/20,16,0,0
54,Afghanistan,,33.0,65.0,3/16/20,21,0,1
55,Afghanistan,,33.0,65.0,3/17/20,22,0,1
56,Afghanistan,,33.0,65.0,3/18/20,22,0,1
57,Afghanistan,,33.0,65.0,3/19/20,22,0,1
58,Afghanistan,,33.0,65.0,3/20/20,24,0,1
59,Afghanistan,,33.0,65.0,3/21/20,24,0,1
60,Afghanistan,,33.0,65.0,3/22/20,40,1,1
61,Afghanistan,,33.0,65.0,3/23/20,40,1,1
62,Afghanistan,,33.0,65.0,3/24/20,74,1,1
63,Afghanistan,,33.0,65.0,3/25/20,84,2,2
64,Afghanistan,,33.0,65.0,3/26/20,94,4,2
65,Afghanistan,,33.0,65.0,3/27/20,110,4,2
66,Afghanistan,,33.0,65.0,3/28/20,110,4,2
67,Afghanistan,,33.0,65.0,3/29/20,120,4,2
68,Afghanistan,,33.0,65.0,3/30/20,170,4,2
69,Afghanistan,,33.0,65.0,3/31/20,174,4,5
70,Afghanistan,,33.0,65.0,4/1/20,237,4,5
71,Afghanistan,,33.0,65.0,4/2/20,273,6,10
72,Afghanistan,,33.0,65.0,4/3/20,281,6,10
73,Afghanistan,,33.0,65.0,4/4/20,299,7,10
74,Afghanistan,,33.0,65.0,4/5/20,349,7,15
75,Afghanistan,,33.0,65.0,4/6/20,367,11,18
76,Afghanistan,,33.0,65.0,4/7/20,423,14,18
77,Afghanistan,,33.0,65.0,4/8/20,444,14,29
78,Afghanistan,,33.0,65.0,4/9/20,484,15,32
79,Afghanistan,,33.0,65.0,4/10/20,521,15,32
80,Afghanistan,,33.0,65.0,4/11/20,555,18,32
81,Afghanistan,,33.0,65.0,4/12/20,607,18,32
82,Afghanistan,,33.0,65.0,4/13/20,665,21,32
83,Afghanistan,,33.0,65.0,4/14/20,714,23,40
84,Afghanistan,,33.0,65.0,4/15/20,784,25,43
85,Afghanistan,,33.0,65.0,4/16/20,840,30,54
86,Afghanistan,,33.0,65.0,4/17/20,906,30,99
87,Afghanistan,,33.0,65.0,4/18/20,933,30,112
88,Afghanistan,,33.0,65.0,4/19/20,996,33,131
89,Afghanistan,,33.0,65.0,4/20/20,1026,36,135
90,Afghanistan,,33.0,65.0,4/21/20,1092,36,150
91,Albania,,41.1533,20.1683,1/22/20,0,0,0
92,Albania,,41.1533,20.1683,1/23/20,0,0,0
93,Albania,,41.1533,20.1683,1/24/20,0,0,0
94,Albania,,41.1533,20.1683,1/25/20,0,0,0
95,Albania,,41.1533,20.1683,1/26/20,0,0,0
96,Albania,,41.1533,20.1683,1/27/20,0,0,0
97,Albania,,41.1533,20.1683,1/28/20,0,0,0
98,Albania,,41.1533,20.1683,1/29/20,0,0,0
99,Albania,,41.1533,20.1683,1/30/20,0,0,0
100,Albania,,41.1533,20.1683,1/31/20,0,0,0
101,Albania,,41.1533,20.1683,2/1/20,0,0,0
102,Albania,,41.1533,20.1683,2/2/20,0,0,0
103,Albania,,41.1533,20.1683,2/3/20,0,0,0
104,Albania,,41.1533,20.1683,2/4/20,0,0,0
105,Albania,,41.1533,20.1683,2/5/20,0,0,0
106,Albania,,41.1533,20.1683,2/6/20,0,0,0
107,Albania,,41.1533,20.1683,2/7/20,0,0,0
108,Albania,,41.1533,20.1683,2/8/20,0,0,0
109,Albania,,41.1533,20.1683,2/9/20,0,0,0
110,Albania,,41.1533,20.1683,2/10/20,0,0,0
111,Albania,,41.1533,20.1683,2/11/20,0,0,0
112,Albania,,41.1533,20.1683,2/12/20,0,0,0
113,Albania,,41.1533,20.1683,2/13/20,0,0,0
114,Albania,,41.1533,20.1683,2/14/20,0,0,0
115,Albania,,41.1533,20.1683,2/15/20,0,0,0
116,Albania,,41.1533,20.1683,2/16/20,0,0,0
117,Albania,,41.1533,20.1683,2/17/20,0,0,0
118,Albania,,41.1533,20.1683,2/18/20,0,0,0
119,Albania,,41.1533,20.1683,2/19/20,0,0,0
120,Albania,,41.1533,20.1683,2/20/20,0,0,0
121,Albania,,41.1533,20.1683,2/21/20,0,0,0
122,Albania,,41.1533,20.1683,2/22/20,0,0,0
123,Albania,,41.1533,20.1683,2/23/20,0,0,0
124,Albania,,41.1533,20.1683,2/24/20,0,0,0
125,Albania,,41.1533,20.1683,2/25/20,0,0,0
126,Albania,,41.1533,20.1683,2/26/20,0,0,0
127,Albania,,41.1533,20.1683,2/27/20,0,0,0
128,Albania,,41.1533,20.1683,2/28/20,0,0,0
129,Albania,,41.1533,20.1683,2/29/20,0,0,0
130,Albania,,41.1533,20.1683,3/1/20,0,0,0
131,Albania,,41.1533,20.1683,3/2/20,0,0,0
132,Albania,,41.1533,20.1683,3/3/20,0,0,0
133,Albania,,41.1533,20.1683,3/4/20,0,0,0
134,Albania,,41.1533,20.1683,3/5/20,0,0,0
135,Albania,,41.1533,20.1683,3/6/20,0,0,0
136,Albania,,41.1533,20.1683,3/7/20,0,0,0
137,Albania,,41.1533,20.1683,3/8/20,0,0,0
138,Albania,,41.1533,20.1683,3/9/20,2,0,0
139,Albania,,41.1533,20.1683,3/10/20,10,0,0
140,Albania,,41.1533,20.1683,3/11/20,12,1,0
141,Albania,,41.1533,20.1683,3/12/20,23,1,0
142,Albania,,41.1533,20.1683,3/13/20,33,1,0
143,Albania,,41.1533,20.1683,3/14/20,38,1,0
144,Albania,,41.1533,20.1683,3/15/20,42,1,0
145,Albania,,41.1533,20.1683,3/16/20,51,1,0
146,Albania,,41.1533,20.1683,3/17/20,55,1,0
147,Albania,,41.1533,20.1683,3/18/20,59,2,0
148,Albania,,41.1533,20.1683,3/19/20,64,2,0
149,Albania,,41.1533,20.1683,3/20/20,70,2,0
150,Albania,,41.1533,20.1683,3/21/20,76,2,2
151,Albania,,41.1533,20.1683,3/22/20,89,2,2
152,Albania,,41.1533,20.1683,3/23/20,104,4,2
153,Albania,,41.1533,20.1683,3/24/20,123,5,10
154,Albania,,41.1533,20.1683,3/25/20,146,5,17
155,Albania,,41.1533,20.1683,3/26/20,174,6,17
156,Albania,,41.1533,20.1683,3/27/20,186,8,31
157,Albania,,41.1533,20.1683,3/28/20,197,10,31
158,Albania,,41.1533,20.1683,3/29/20,212,10,33
159,Albania,,41.1533,20.1683,3/30/20,223,11,44
160,Albania,,41.1533,20.1683,3/31/20,243,15,52
161,Albania,,41.1533,20.1683,4/1/20,259,15,67
162,Albania,,41.1533,20.1683,4/2/20,277,16,76
163,Albania,,41.1533,20.1683,4/3/20,304,17,89
164,Albania,,41.1533,20.1683,4/4/20,333,20,99
165,Albania,,41.1533,20.1683,4/5/20,361,20,104
166,Albania,,41.1533,20.1683,4/6/20,377,21,116
167,Albania,,41.1533,20.1683,4/7/20,383,22,131
168,Albania,,41.1533,20.1683,4/8/20,400,22,154
169,Albania,,41.1533,20.1683,4/9/20,409,23,165
170,Albania,,41.1533,20.1683,4/10/20,416,23,182
171,Albania,,41.1533,20.1683,4/11/20,433,23,197
172,Albania,,41.1533,20.1683,4/12/20,446,23,217
173,Albania,,41.1533,20.1683,4/13/20,467,23,232
174,Albania,,41.1533,20.1683,4/14/20,475,24,248
175,Albania,,41.1533,20.1683,4/15/20,494,25,251
176,Albania,,41.1533,20.1683,4/16/20,518,26,277
177,Albania,,41.1533,20.1683,4/17/20,539,26,283
178,Albania,,41.1533,20.1683,4/18/20,548,26,302
179,Albania,,41.1533,20.1683,4/19/20,562,26,314
180,Albania,,41.1533,20.1683,4/20/20,584,26,327
181,Albania,,41.1533,20.1683,4/21/20,609,26,345
182,Algeria,,28.0339,1.6596,1/22/20,0,0,0
183,Algeria,,28.0339,1.6596,1/23/20,0,0,0
184,Algeria,,28.0339,1.6596,1/24/20,0,0,0
185,Algeria,,28.0339,1.6596,1/25/20,0,0,0
186,Algeria,,28.0339,1.6596,1/26/20,0,0,0
187,Algeria,,28.0339,1.6596,1/27/20,0,0,0
188,Algeria,,28.0339,1.6596,1/28/20,0,0,0
189,Algeria,,28.0339,1.6596,1/29/20,0,0,0
190,Algeria,,28.0339,1.6596,1/30/20,0,0,0
191,Algeria,,28.0339,1.6596,1/31/20,0,0,0
192,Algeria,,28.0339,1.6596,2/1/20,0,0,0
193,Algeria,,28.0339,1.6596,2/2/20,0,0,0
194,Algeria,,28.0339,1.6596,2/3/20,0,0,0
195,Algeria,,28.0339,1.6596,2/4/20,0,0,0
196,Algeria,,28.0339,1.6596,2/5/20,0,0,0
197,Algeria,,28.0339,1.6596,2/6/20,0,0,0
198,Algeria,,28.0339,1.6596,2/7/20,0,0,0
199,Algeria,,28.0339,1.6596,2/8/20,0,0,0
200,Algeria,,28.0339,1.6596,2/9/20,0,0,0
201,Algeria,,28.0339,1.6596,2/10/20,0,0,0
202,Algeria,,28.0339,1.6596,2/11/20,0,0,0
203,Algeria,,28.0339,1.6596,2/12/20,0,0,0
204,Algeria,,28.0339,1.6596,2/13/20,0,0,0
205,Algeria,,28.0339,1.6596,2/14/20,0,0,0
206,Algeria,,28.0339,1.6596,2/15/20,0,0,0
207,Algeria,,28.0339,1.6596,2/16/20,0,0,0
208,Algeria,,28.0339,1.6596,2/17/20,0,0,0
209,Algeria,,28.0339,1.6596,2/18/20,0,0,0
210,Algeria,,28.0339,1.6596,2/19/20,0,0,0
211,Algeria,,28.0339,1.6596,2/20/20,0,0,0
212,Algeria,,28.0339,1.6596,2/21/20,0,0,0
213,Algeria,,28.0339,1.6596,2/22/20,0,0,0
214,Algeria,,28.0339,1.6596,2/23/20,0,0,0
215,Algeria,,28.0339,1.6596,2/24/20,0,0,0
216,Algeria,,28.0339,1.6596,2/25/20,1,0,0
217,Algeria,,28.0339,1.6596,2/26/20,1,0,0
218,Algeria,,28.0339,1.6596,2/27/20,1,0,0
219,Algeria,,28.0339,1.6596,2/28/20,1,0,0
220,Algeria,,28.0339,1.6596,2/29/20,1,0,0
221,Algeria,,28.0339,1.6596,3/1/20,1,0,0
222,Algeria,,28.0339,1.6596,3/2/20,3,0,0
223,Algeria,,28.0339,1.6596,3/3/20,5,0,0
224,Algeria,,28.0339,1.6596,3/4/20,12,0,0
225,Algeria,,28.0339,1.6596,3/5/20,12,0,0
226,Algeria,,28.0339,1.6596,3/6/20,17,0,0
227,Algeria,,28.0339,1.6596,3/7/20,17,0,0
228,Algeria,,28.0339,1.6596,3/8/20,19,0,0
229,Algeria,,28.0339,1.6596,3/9/20,20,0,0
230,Algeria,,28.0339,1.6596,3/10/20,20,0,0
231,Algeria,,28.0339,1.6596,3/11/20,20,0,0
232,Algeria,,28.0339,1.6596,3/12/20,24,1,8
233,Algeria,,28.0339,1.6596,3/13/20,26,2,8
234,Algeria,,28.0339,1.6596,3/14/20,37,3,12
235,Algeria,,28.0339,1.6596,3/15/20,48,4,12
236,Algeria,,28.0339,1.6596,3/16/20,54,4,12
237,Algeria,,28.0339,1.6596,3/17/20,60,4,12
238,Algeria,,28.0339,1.6596,3/18/20,74,7,12
239,Algeria,,28.0339,1.6596,3/19/20,87,9,32
240,Algeria,,28.0339,1.6596,3/20/20,90,11,32
241,Algeria,,28.0339,1.6596,3/21/20,139,15,32
242,Algeria,,28.0339,1.6596,3/22/20,201,17,65
243,Algeria,,28.0339,1.6596,3/23/20,230,17,65
244,Algeria,,28.0339,1.6596,3/24/20,264,19,24
245,Algeria,,28.0339,1.6596,3/25/20,302,21,65
246,Algeria,,28.0339,1.6596,3/26/20,367,25,29
247,Algeria,,28.0339,1.6596,3/27/20,409,26,29
248,Algeria,,28.0339,1.6596,3/28/20,454,29,31
249,Algeria,,28.0339,1.6596,3/29/20,511,31,31
250,Algeria,,28.0339,1.6596,3/30/20,584,35,37
251,Algeria,,28.0339,1.6596,3/31/20,716,44,46
252,Algeria,,28.0339,1.6596,4/1/20,847,58,61
253,Algeria,,28.0339,1.6596,4/2/20,986,86,61
254,Algeria,,28.0339,1.6596,4/3/20,1171,105,62
255,Algeria,,28.0339,1.6596,4/4/20,1251,130,90
256,Algeria,,28.0339,1.6596,4/5/20,1320,152,90
257,Algeria,,28.0339,1.6596,4/6/20,1423,173,90
258,Algeria,,28.0339,1.6596,4/7/20,1468,193,113
259,Algeria,,28.0339,1.6596,4/8/20,1572,205,237
260,Algeria,,28.0339,1.6596,4/9/20,1666,235,347
261,Algeria,,28.0339,1.6596,4/10/20,1761,256,405
262,Algeria,,28.0339,1.6596,4/11/20,1825,275,460
263,Algeria,,28.0339,1.6596,4/12/20,1914,293,591
264,Algeria,,28.0339,1.6596,4/13/20,1983,313,601
265,Algeria,,28.0339,1.6596,4/14/20,2070,326,691
266,Algeria,,28.0339,1.6596,4/15/20,2160,336,708
267,Algeria,,28.0339,1.6596,4/16/20,2268,348,783
268,Algeria,,28.0339,1.6596,4/17/20,2418,364,846
269,Algeria,,28.0339,1.6596,4/18/20,2534,367,894
270,Algeria,,28.0339,1.6596,4/19/20,2629,375,1047
271,Algeria,,28.0339,1.6596,4/20/20,2718,384,1099
272,Algeria,,28.0339,1.6596,4/21/20,2811,392,1152
273,Andorra,,42.5063,1.5218,1/22/20,0,0,0
274,Andorra,,42.5063,1.5218,1/23/20,0,0,0
275,Andorra,,42.5063,1.5218,1/24/20,0,0,0
276,Andorra,,42.5063,1.5218,1/25/20,0,0,0
277,Andorra,,42.5063,1.5218,1/26/20,0,0,0
278,Andorra,,42.5063,1.5218,1/27/20,0,0,0
279,Andorra,,42.5063,1.5218,1/28/20,0,0,0
280,Andorra,,42.5063,1.5218,1/29/20,0,0,0
281,Andorra,,42.5063,1.5218,1/30/20,0,0,0
282,Andorra,,42.5063,1.5218,1/31/20,0,0,0
283,Andorra,,42.5063,1.5218,2/1/20,0,0,0
284,Andorra,,42.5063,1.5218,2/2/20,0,0,0
285,Andorra,,42.5063,1.5218,2/3/20,0,0,0
286,Andorra,,42.5063,1.5218,2/4/20,0,0,0
287,Andorra,,42.5063,1.5218,2/5/20,0,0,0
288,Andorra,,42.5063,1.5218,2/6/20,0,0,0
289,Andorra,,42.5063,1.5218,2/7/20,0,0,0
290,Andorra,,42.5063,1.5218,2/8/20,0,0,0
291,Andorra,,42.5063,1.5218,2/9/20,0,0,0
292,Andorra,,42.5063,1.5218,2/10/20,0,0,0
293,Andorra,,42.5063,1.5218,2/11/20,0,0,0
294,Andorra,,42.5063,1.5218,2/12/20,0,0,0
295,Andorra,,42.5063,1.5218,2/13/20,0,0,0
296,Andorra,,42.5063,1.5218,2/14/20,0,0,0
297,Andorra,,42.5063,1.5218,2/15/20,0,0,0
298,Andorra,,42.5063,1.5218,2/16/20,0,0,0
299,Andorra,,42.5063,1.5218,2/17/20,0,0,0
300,Andorra,,42.5063,1.5218,2/18/20,0,0,0
301,Andorra,,42.5063,1.5218,2/19/20,0,0,0
302,Andorra,,42.5063,1.5218,2/20/20,0,0,0
303,Andorra,,42.5063,1.5218,2/21/20,0,0,0
304,Andorra,,42.5063,1.5218,2/22/20,0,0,0
305,Andorra,,42.5063,1.5218,2/23/20,0,0,0
306,Andorra,,42.5063,1.5218,2/24/20,0,0,0
307,Andorra,,42.5063,1.5218,2/25/20,0,0,0
308,Andorra,,42.5063,1.5218,2/26/20,0,0,0
309,Andorra,,42.5063,1.5218,2/27/20,0,0,0
310,Andorra,,42.5063,1.5218,2/28/20,0,0,0
311,Andorra,,42.5063,1.5218,2/29/20,0,0,0
312,Andorra,,42.5063,1.5218,3/1/20,0,0,0
313,Andorra,,42.5063,1.5218,3/2/20,1,0,0
314,Andorra,,42.5063,1.5218,3/3/20,1,0,0
315,Andorra,,42.5063,1.5218,3/4/20,1,0,0
316,Andorra,,42.5063,1.5218,3/5/20,1,0,0
317,Andorra,,42.5063,1.5218,3/6/20,1,0,0
318,Andorra,,42.5063,1.5218,3/7/20,1,0,0
319,Andorra,,42.5063,1.5218,3/8/20,1,0,0
320,Andorra,,42.5063,1.5218,3/9/20,1,0,0
321,Andorra,,42.5063,1.5218,3/10/20,1,0,0
322,Andorra,,42.5063,1.5218,3/11/20,1,0,0
323,Andorra,,42.5063,1.5218,3/12/20,1,0,1
324,Andorra,,42.5063,1.5218,3/13/20,1,0,0
325,Andorra,,42.5063,1.5218,3/14/20,1,0,1
326,Andorra,,42.5063,1.5218,3/15/20,1,0,1
327,Andorra,,42.5063,1.5218,3/16/20,2,0,1
328,Andorra,,42.5063,1.5218,3/17/20,39,0,1
329,Andorra,,42.5063,1.5218,3/18/20,39,0,1
330,Andorra,,42.5063,1.5218,3/19/20,53,0,1
331,Andorra,,42.5063,1.5218,3/20/20,75,0,1
332,Andorra,,42.5063,1.5218,3/21/20,88,0,1
333,Andorra,,42.5063,1.5218,3/22/20,113,1,1
334,Andorra,,42.5063,1.5218,3/23/20,133,1,1
335,Andorra,,42.5063,1.5218,3/24/20,164,1,1
336,Andorra,,42.5063,1.5218,3/25/20,188,1,1
337,Andorra,,42.5063,1.5218,3/26/20,224,3,1
338,Andorra,,42.5063,1.5218,3/27/20,267,3,1
339,Andorra,,42.5063,1.5218,3/28/20,308,3,1
340,Andorra,,42.5063,1.5218,3/29/20,334,6,1
341,Andorra,,42.5063,1.5218,3/30/20,370,8,10
342,Andorra,,42.5063,1.5218,3/31/20,376,12,10
343,Andorra,,42.5063,1.5218,4/1/20,390,14,10
344,Andorra,,42.5063,1.5218,4/2/20,428,15,10
345,Andorra,,42.5063,1.5218,4/3/20,439,16,16
346,Andorra,,42.5063,1.5218,4/4/20,466,17,21
347,Andorra,,42.5063,1.5218,4/5/20,501,18,26
348,Andorra,,42.5063,1.5218,4/6/20,525,21,31
349,Andorra,,42.5063,1.5218,4/7/20,545,22,39
350,Andorra,,42.5063,1.5218,4/8/20,564,23,52
351,Andorra,,42.5063,1.5218,4/9/20,583,25,58
352,Andorra,,42.5063,1.5218,4/10/20,601,26,71
353,Andorra,,42.5063,1.5218,4/11/20,601,26,71
354,Andorra,,42.5063,1.5218,4/12/20,638,29,128
355,Andorra,,42.5063,1.5218,4/13/20,646,29,128
356,Andorra,,42.5063,1.5218,4/14/20,659,31,128
357,Andorra,,42.5063,1.5218,4/15/20,673,33,169
358,Andorra,,42.5063,1.5218,4/16/20,673,33,169
359,Andorra,,42.5063,1.5218,4/17/20,696,35,191
360,Andorra,,42.5063,1.5218,4/18/20,704,35,205
361,Andorra,,42.5063,1.5218,4/19/20,713,36,235
362,Andorra,,42.5063,1.5218,4/20/20,717,37,248
363,Andorra,,42.5063,1.5218,4/21/20,717,37,282
364,Angola,,-11.2027,17.8739,1/22/20,0,0,0
365,Angola,,-11.2027,17.8739,1/23/20,0,0,0
366,Angola,,-11.2027,17.8739,1/24/20,0,0,0
367,Angola,,-11.2027,17.8739,1/25/20,0,0,0
368,Angola,,-11.2027,17.8739,1/26/20,0,0,0
369,Angola,,-11.2027,17.8739,1/27/20,0,0,0
370,Angola,,-11.2027,17.8739,1/28/20,0,0,0
371,Angola,,-11.2027,17.8739,1/29/20,0,0,0
372,Angola,,-11.2027,17.8739,1/30/20,0,0,0
373,Angola,,-11.2027,17.8739,1/31/20,0,0,0
374,Angola,,-11.2027,17.8739,2/1/20,0,0,0
375,Angola,,-11.2027,17.8739,2/2/20,0,0,0
376,Angola,,-11.2027,17.8739,2/3/20,0,0,0
377,Angola,,-11.2027,17.8739,2/4/20,0,0,0
378,Angola,,-11.2027,17.8739,2/5/20,0,0,0
379,Angola,,-11.2027,17.8739,2/6/20,0,0,0
380,Angola,,-11.2027,17.8739,2/7/20,0,0,0
381,Angola,,-11.2027,17.8739,2/8/20,0,0,0
382,Angola,,-11.2027,17.8739,2/9/20,0,0,0
383,Angola,,-11.2027,17.8739,2/10/20,0,0,0
384,Angola,,-11.2027,17.8739,2/11/20,0,0,0
385,Angola,,-11.2027,17.8739,2/12/20,0,0,0
386,Angola,,-11.2027,17.8739,2/13/20,0,0,0
387,Angola,,-11.2027,17.8739,2/14/20,0,0,0
388,Angola,,-11.2027,17.8739,2/15/20,0,0,0
389,Angola,,-11.2027,17.8739,2/16/20,0,0,0
390,Angola,,-11.2027,17.8739,2/17/20,0,0,0
391,Angola,,-11.2027,17.8739,2/18/20,0,0,0
392,Angola,,-11.2027,17.8739,2/19/20,0,0,0
393,Angola,,-11.2027,17.8739,2/20/20,0,0,0
394,Angola,,-11.2027,17.8739,2/21/20,0,0,0
395,Angola,,-11.2027,17.8739,2/22/20,0,0,0
396,Angola,,-11.2027,17.8739,2/23/20,0,0,0
397,Angola,,-11.2027,17.8739,2/24/20,0,0,0
398,Angola,,-11.2027,17.8739,2/25/20,0,0,0
399,Angola,,-11.2027,17.8739,2/26/20,0,0,0
400,Angola,,-11.2027,17.8739,2/27/20,0,0,0
401,Angola,,-11.2027,17.8739,2/28/20,0,0,0
402,Angola,,-11.2027,17.8739,2/29/20,0,0,0
403,Angola,,-11.2027,17.8739,3/1/20,0,0,0
404,Angola,,-11.2027,17.8739,3/2/20,0,0,0
405,Angola,,-11.2027,17.8739,3/3/20,0,0,0
406,Angola,,-11.2027,17.8739,3/4/20,0,0,0
407,Angola,,-11.2027,17.8739,3/5/20,0,0,0
408,Angola,,-11.2027,17.8739,3/6/20,0,0,0
409,Angola,,-11.2027,17.8739,3/7/20,0,0,0
410,Angola,,-11.2027,17.8739,3/8/20,0,0,0
411,Angola,,-11.2027,17.8739,3/9/20,0,0,0
412,Angola,,-11.2027,17.8739,3/10/20,0,0,0
413,Angola,,-11.2027,17.8739,3/11/20,0,0,0
414,Angola,,-11.2027,17.8739,3/12/20,0,0,0
415,Angola,,-11.2027,17.8739,3/13/20,0,0,0
416,Angola,,-11.2027,17.8739,3/14/20,0,0,0
417,Angola,,-11.2027,17.8739,3/15/20,0,0,0
418,Angola,,-11.2027,17.8739,3/16/20,0,0,0
419,Angola,,-11.2027,17.8739,3/17/20,0,0,0
420,Angola,,-11.2027,17.8739,3/18/20,0,0,0
421,Angola,,-11.2027,17.8739,3/19/20,0,0,0
422,Angola,,-11.2027,17.8739,3/20/20,1,0,0
423,Angola,,-11.2027,17.8739,3/21/20,2,0,0
424,Angola,,-11.2027,17.8739,3/22/20,2,0,0
425,Angola,,-11.2027,17.8739,3/23/20,3,0,0
426,Angola,,-11.2027,17.8739,3/24/20,3,0,0
427,Angola,,-11.2027,17.8739,3/25/20,3,0,0
428,Angola,,-11.2027,17.8739,3/26/20,4,0,0
429,Angola,,-11.2027,17.8739,3/27/20,4,0,0
430,Angola,,-11.2027,17.8739,3/28/20,5,0,0
431,Angola,,-11.2027,17.8739,3/29/20,7,2,0
432,Angola,,-11.2027,17.8739,3/30/20,7,2,0
433,Angola,,-11.2027,17.8739,3/31/20,7,2,1
434,Angola,,-11.2027,17.8739,4/1/20,8,2,1
435,Angola,,-11.2027,17.8739,4/2/20,8,2,1
436,Angola,,-11.2027,17.8739,4/3/20,8,2,1
437,Angola,,-11.2027,17.8739,4/4/20,10,2,2
438,Angola,,-11.2027,17.8739,4/5/20,14,2,2
439,Angola,,-11.2027,17.8739,4/6/20,16,2,2
440,Angola,,-11.2027,17.8739,4/7/20,17,2,2
441,Angola,,-11.2027,17.8739,4/8/20,19,2,2
442,Angola,,-11.2027,17.8739,4/9/20,19,2,2
443,Angola,,-11.2027,17.8739,4/10/20,19,2,2
444,Angola,,-11.2027,17.8739,4/11/20,19,2,4
445,Angola,,-11.2027,17.8739,4/12/20,19,2,4
446,Angola,,-11.2027,17.8739,4/13/20,19,2,4
447,Angola,,-11.2027,17.8739,4/14/20,19,2,5
448,Angola,,-11.2027,17.8739,4/15/20,19,2,5
449,Angola,,-11.2027,17.8739,4/16/20,19,2,5
450,Angola,,-11.2027,17.8739,4/17/20,19,2,5
451,Angola,,-11.2027,17.8739,4/18/20,24,2,6
452,Angola,,-11.2027,17.8739,4/19/20,24,2,6
453,Angola,,-11.2027,17.8739,4/20/20,24,2,6
454,Angola,,-11.2027,17.8739,4/21/20,24,2,6
455,Antigua and Barbuda,,17.0608,-61.7964,1/22/20,0,0,0
456,Antigua and Barbuda,,17.0608,-61.7964,1/23/20,0,0,0
457,Antigua and Barbuda,,17.0608,-61.7964,1/24/20,0,0,0
458,Antigua and Barbuda,,17.0608,-61.7964,1/25/20,0,0,0
459,Antigua and Barbuda,,17.0608,-61.7964,1/26/20,0,0,0
460,Antigua and Barbuda,,17.0608,-61.7964,1/27/20,0,0,0
461,Antigua and Barbuda,,17.0608,-61.7964,1/28/20,0,0,0
462,Antigua and Barbuda,,17.0608,-61.7964,1/29/20,0,0,0
463,Antigua and Barbuda,,17.0608,-61.7964,1/30/20,0,0,0
